Name,Address,State,City,Phone,Email,PPN
Abhaya Hospital,17 Dr. M.H. Mari Gowda Road(Hosur Road)  Opp. Park Area Wilson Garden Bangalore - 560027,Karnataka,Bengaluru,080 - 26563865 / 26564586 / 26566767,abhayahospital@live.in,Yes
Apollo Cradle,No. 58.5th Cross  18th Main Dhanlakshmi Bank Building 6th Block  Kormangla,Karnataka,Bengaluru,9964623999,VIIPULL.SOOMA@APOLLOCRADLE.COM,Yes
Apollo Speciality Hospital,No.21/2 (2) 14th Cross 3rd Block  Jayanagar,Karnataka,Bengaluru,9663944456,INSURANCE_AHJN@APOLLOHOSPITALS.COM,Yes
Aveksha Hospital,#122  Varadarajaswamy Layout  Singapura Main Road  Near M.S Palya,Karnataka,Bengaluru,9900072001,billing@avekshahospital.com,Yes
Axon Specialty Hospital,No 321  6th Main Hal 2nd Stage Indira Nagar,Karnataka,Bengaluru,43346333,axonhospitalinsurance321@gmail.com,Yes
Bangalore Baptist Hospital,Bellary Road  Hebbal,Karnataka,Bengaluru,8023330321,baptistcorporate@gmail.com,No
Bhagwan Mahaveer Jain Hospital,17  Millers Road  Vasanthnagar,Karnataka,Bengaluru,9591671680,corporate@bmjh.org,Yes
Brookefield Hospital,521/522. Itpl Main Road Vijayalakshmi Square,Karnataka,Bengaluru,9980067545,INSURANCE@BROOKEFIELDHOSPITAL.COM,No
C.S.I Hospital ( Church Of South India),No:02  Hazarat Kambal Posh Road  Hazarat Kambal Posh Road,Karnataka,Bangalore,080 - 22861103 / 04 / 05 / 06,accounts@csihospitalblr.org,No
Chaitanya Hospital,80  P & T Colony  Rt Nagar  Bangalore-32,Karnataka,Bengaluru,080 - 23333581 / 23432633,hospitalchaitanya46@ymail.com,Yes
Citi Hospital,25/91 Chord Road 11 Block Rajajinagar Bangalore,Karnataka,Bengaluru,080 - 23131777 / 23131778 / 23131779,citihospital.org2002@gmail.com,Yes
Cloudnine,# 47  17th Cross  11th Main   Malleshwaram,Karnataka,Bengaluru,9620343444,INSURANCEMWM@CLOUDNINECARE.COM,Yes
Cloudnine,# 1533  9th Main  3rd Block  Jayanagar  Bangalore,Karnataka,Bengaluru,8066732233,insurance@cloudninecare.com,Yes
Cloudnine Hospital Pvt Ltd,#115  Kodihalli  Old Airport Road,Karnataka,Bengaluru,9620343444,insuranceoar@cloudninecare.com,Yes
Divine Speciality Hospital,#110  6th Main Iti Layout Benson Town Post  Bangalore-560046,Karnataka,Bengaluru,8088558737,divinespecialityhospital@gmail.com,Yes
Fortis Hospitals Ltd,# 14   Cunnigham Road,Karnataka,Bengaluru,4654785413,fortishospital.tpa@gmail.com,Yes
Gangothri Hospital,# 27  Kuvempunagar  100ft Ring Road  Bangalore,Karnataka,Bengaluru,080 - 26682734,gangotrihospital@gmail.com,Yes
Garden City Hospital,132/18 22nd Cross 3rd Block Jayanagar Bangalore,Karnataka,Bengaluru,080 -  26646202 / 26632838,gardencity_hospital81@yahoo.com,No
Greenview Medical Centre,20 & 21  14th Main  HSR Layout,Karnataka,Bengaluru,9986665807,tpa@gvhcol.com,No
Healthcare Global Enterprises (Hcg),Hcg Tower  No. 8  P Kalinga Rao Road  Sampangiramnagar,Karnataka,Bengaluru,8040206400,insurancehelpdesk@hcgoncology.com,Yes
Hosmat Hospital,45 Magrath Road Off Richmond Road Bangalore  Off Richmond Road,Karnataka,Bengaluru,9972406199,HOSMATINFO@GMAIL.COM,Yes
International Hospital Ltd,#111&112  West Of Chord Road  Opp. 1st Block Rajajinagarjunction  Mahalakshmipuram,Karnataka,Bengaluru,9986017110,fortis.wc@fortishealthcare.com,Yes
Jeevika Hospital,95/3  Marathahalli Outer Ring Road Doddanekundi,Karnataka,Bengaluru,80-30766768,jeevikainsurance@gmail.com,No
Jupiter Hospital And Institute Of Vasular Surgery,#28  7th Main  9th Cross  Malleswaram,Karnataka,Bengaluru,9341220446,JUPITERHOSPITAL@GMAIL.COM,No
Koshys Hospital,Ramamurthy Nagar Extn  Raghavendra Nagar  Tambuchetty Palya Main Road,Karnataka,Bengaluru,9986955202,KOSHYSCASHLESS@GMAIL.COM,Yes
M S Ramaiah Hospitals,M S Ramaiah Memorial Hospital  M.S.R. Nagar  Msr It Post  Bangalore,Karnataka,Bengaluru,9606737225,insurancehelpdesk@msrmh.com,Yes
Mallige Medical Centre,# 31/32  Cresent Road  Bangalore,Karnataka,Bengaluru,9008029008,INSURANCE@MALLIGE.COM,Yes
Mallya Hospital,No 2 Vittal Mallya Road,Karnataka,Bengaluru,8022277979,mallyainsurance@gmail.com,Yes
